city,date,pm25,pm10,no,no2,nox,nh3,co,so2,o3,benzene,toluene,xylene,aqi,aqi_bucket,year,month,weekday,is_weekend,season,aqi_bucket_encoded
Hyderabad,2015-04-01,,,-1.019169897300819,-0.7065396509591705,0.18541049082184421,,-0.8240199514662737,-1.4185718715556819,-0.2170258545463135,-0.6251959956047943,-0.10889483127860035,-0.11849010603251563,,Moderate,2015.0,4.0,Wednesday,False,Spring,2
Hyderabad,2015-05-01,,,-1.043099017736358,-1.1815212768349148,-0.6073520959981794,,-1.0393646930646185,-0.7502485138804106,-0.15257359398280312,-0.6434971706527602,0.051910697288704746,-0.5145826456930811,,Moderate,2015.0,5.0,Friday,False,Spring,2
Hyderabad,2015-06-01,,,-0.8835715481660995,-0.4006514838951911,0.7431644056596474,,-0.7932564169522244,0.24839558379528184,-0.33907375220913094,-0.5245395328409818,-0.2606832274028792,-0.5287288078238156,,Moderate,2015.0,6.0,Monday,False,Summer,2
Hyderabad,2015-07-01,,,2.5688687724502413,0.7431042712136013,2.507557290752829,,-0.11645865764314033,0.23303182844642492,-0.16628684091120977,0.7565427205166321,1.4240176840358978,0.6100372437003101,,Moderate,2015.0,7.0,Wednesday,False,Summer,2
Hyderabad,2015-08-01,,,0.738291059131527,0.2959882340559009,2.507557290752829,,-0.39333046826958384,0.08963677852376169,0.15186048782781986,0.7290909579446833,1.1114237593443137,0.21394470403974464,,Moderate,2015.0,8.0,Saturday,True,Summer,2
Hyderabad,2015-09-01,,,0.3341548028868722,0.20605837955675985,2.222152314667755,,-0.5471481408398302,0.2048649436401876,0.08672256491788953,-0.2957748447414078,0.8409097860535201,-0.04068621431347607,,Moderate,2015.0,9.0,Tuesday,False,Monsoon,2
Hyderabad,2015-10-01,,,0.15601579520008377,0.26432279233085126,2.2482643893324457,,-0.42409400278363313,0.3764268783690886,0.07712329206800499,0.04279689364596147,1.0798637957937212,-0.00532080898663984,,Moderate,2015.0,10.0,Thursday,False,Monsoon,2
Hyderabad,2015-11-01,,,1.7193849969886157,0.22885749759879556,2.507557290752829,,-0.5471481408398302,1.129250890463072,0.35893051644675744,-0.0670101566418339,0.5298187167691072,-0.03361313324810883,,Moderate,2015.0,11.0,Sunday,True,Monsoon,2
Hyderabad,2015-12-01,,,1.522634451185297,0.11739514272662076,2.507557290752829,,-0.2702763302133868,0.11780366332999903,-0.8615484601814164,-0.15851603188166347,1.2451778905825395,-0.061905457509577815,,Moderate,2015.0,12.0,Tuesday,False,Winter,2
Hyderabad,,,,2.5688687724502413,-0.3151547912375571,2.507557290752829,,0.4680484981237957,-1.308464958222208,-1.3607106483754112,0.8755003583284104,1.6193888869681374,0.4261371360007617,,Moderate,,,,False,,2
Hyderabad,,,,2.5688687724502413,-0.33795390927959273,2.507557290752829,,0.8987379813204855,-1.625982568765249,-1.8763287328834937,0.3264651068894332,2.189346800137768,1.0627144318838133,,Moderate,,,,False,,2
Hyderabad,,,,2.2644371846869986,-0.39051854254317525,1.9954995065782353,,0.22194022201140165,-1.5081937777573464,-1.6603450937610922,0.0061945435500298145,0.3479732125014068,0.15736005551680668,,Moderate,,,,False,,2
Hyderabad,,,,1.1158394037811383,-0.5811445017279739,1.230937960396078,,-0.3010398647274361,-1.3571168501602546,-0.9938812930405386,-0.13106426930971465,0.03838499862416508,-0.061905457509577815,,Moderate,,,,False,,2
Hyderabad,,,,2.5688687724502413,-0.49818104440834393,2.260798185171497,,0.12964961846925374,-1.4006474903153487,1.285260346460613,0.2990133443174843,1.252692167618395,0.4827217845236997,,Moderate,,,,False,,2
Hyderabad,,,,1.5731514832158786,-0.40635126340570005,1.6978218554007558,,-0.05493158861504172,-1.4262537492301104,-1.7577091469527777,-0.07616074416581688,1.1114237593443137,0.4261371360007617,,Moderate,,,,False,,2
Hyderabad,,,,1.2514377529158578,-0.4348501609582447,1.5254821626137944,,-0.1779857266712389,-1.3468743465943502,-1.5513247806802606,-0.3049254322653908,0.43513882611732924,0.08662924486313421,,Moderate,,,,False,,2
Hyderabad,,,,1.5040229130687668,-0.49881435324284507,1.5192152646942683,,-0.3318033992414853,-1.4057687420983012,-1.7035418215855724,-0.4513348326491181,-0.02623778388419117,-0.11849010603251563,,Moderate,,,,False,,2
Hyderabad,,,,1.3950124755290902,-0.6495418558540812,1.2278045114363154,,-0.5163846063257809,-1.3852837349664922,-1.9380383440613225,-0.49708777026903284,-0.355363118054657,-0.2387324841437588,,Moderate,,,,False,,2
Hyderabad,,,,1.8895476311968913,-0.5912774430799898,1.5181707817076808,,-0.42409400278363313,-1.305904332330732,-2.0155181892068192,-0.32322660731335673,-0.3869230816052496,-0.11849010603251563,,Moderate,,,,False,,2
Hyderabad,,,,2.027804771491115,-0.44308317580675755,1.8168929158717475,,-0.3010398647274361,-1.2162824261290672,-1.6521171456040482,-0.2500219071214931,-0.09687198802123173,-0.02654005218274158,,Moderate,,,,False,,2
Hyderabad,,,,-0.5326111151115311,-0.5007142797463479,0.7160078480083684,,-0.5779116753538794,-1.3980868644238729,-0.18000008783961616,-0.4055818950292033,-0.2636889382172213,-0.11141702496714838,,Moderate,,,,False,,2
Hyderabad,,,,-0.8543248454115521,-0.5469458246649204,0.5123336656237775,,-0.6394387443819781,-1.3852837349664922,-0.02778304693430442,-0.6251959956047943,-0.5101572249932779,-0.21044015988228984,,Moderate,,,,False,,2
